,Month,Hora,Temperatura_Media,Temperatura_Minima,Temperatura_Maxima,Brillo_Solar,Energia_Radiacion_Solar,Humedad_Relativa,Precipitaciones,Evaporaciones,Velocidad_del_Viento,FechaHora
0,1980-01-01,00:00:00,13.5,11.2,18.0,,,83.3333333333,0.0,3.7,1.06,1980-01-01
1,1980-01-02,00:00:00,13.225,11.2,18.0,,,85.6,0.3,3.0,0.86,1980-01-02
2,1980-01-03,00:00:00,14.1,6.0,23.0,,,75.0,0.0,5.17,1.22,1980-01-03
3,1980-01-04,00:00:00,13.2,5.7,19.2,,,74.3333333333,0.0,4.23,0.78,1980-01-04
4,1980-01-05,00:00:00,13.8,11.2,20.0,,,80.0,8.8,,1.0,1980-01-05
5,1980-01-06,00:00:00,14.05,9.9,17.0,,,84.6,9.2,,0.6000000000000001,1980-01-06
6,1980-01-07,00:00:00,12.2,9.3,16.2,,,81.0,0.0,3.22,1.37,1980-01-07
7,1980-01-08,00:00:00,11.6,8.1,16.2,,,82.33,0.0,4.64,0.87,1980-01-08
8,1980-01-09,00:00:00,13.22,8.3,18.1,,,80.0,0.3,4.71,1.41,1980-01-09
9,1980-01-10,00:00:00,12.92,8.5,16.2,,,84.33,,3.83,1.09,1980-01-10
10,1980-01-11,00:00:00,13.85,9.5,18.8,,,79.66,0.0,4.53,1.19,1980-01-11
11,1980-01-12,00:00:00,13.02,7.5,19.0,,,82.33,0.9,4.09,0.8200000000000001,1980-01-12
12,1980-01-13,00:00:00,12.2,3.0,20.6,,,75.0,0.0,3.66,0.78,1980-01-13
13,1980-01-14,00:00:00,11.05,4.0,19.0,,,82.3333333333,0.0,3.3,0.62,1980-01-14
14,1980-01-15,00:00:00,11.6,3.8,19.5,,,79.6666666667,0.0,2.4,0.75,1980-01-15
15,1980-01-16,00:00:00,12.25,4.0,25.0,,,77.3333333333,0.0,4.2,0.74,1980-01-16
16,1980-01-17,00:00:00,13.9,6.6,21.0,,,76.6666666667,0.0,4.6,1.0,1980-01-17
17,1980-01-18,00:00:00,14.0,7.4,20.2,,,77.0,0.0,3.75,0.86,1980-01-18
18,1980-01-19,00:00:00,13.375,7.4,19.5,,,79.3333333333,0.9,3.39,0.93,1980-01-19
19,1980-01-20,00:00:00,13.5,7.8,19.5,,,79.0,0.0,4.2,1.18,1980-01-20
20,1980-01-21,00:00:00,12.95,9.0,17.5,,,81.0,0.0,6.31,1.37,1980-01-21
21,1980-01-22,00:00:00,11.75,7.0,16.0,,,79.6666666667,0.2,2.7,1.26,1980-01-22
22,1980-01-23,00:00:00,13.375,7.9,17.5,,,81.0,0.2,3.2,1.69,1980-01-23
23,1980-01-24,00:00:00,13.0,9.2,17.2,,,85.3333333333,0.0,2.5,1.92,1980-01-24
24,1980-01-25,00:00:00,13.525,10.0,18.5,,,79.3333333333,0.0,4.5,1.48,1980-01-25
25,1980-01-26,00:00:00,12.55,6.8,17.5,,,63.3333333333,0.0,5.6,1.75,1980-01-26
26,1980-01-27,00:00:00,12.15,4.2,19.0,,,78.6666666667,0.0,4.9,1.3,1980-01-27
27,1980-01-28,00:00:00,13.3,7.7,19.2,,,77.6666666667,0.0,3.39,1.18,1980-01-28
28,1980-01-29,00:00:00,13.825,5.3,20.0,,,79.3333333333,0.0,3.72,1.12,1980-01-29
29,1980-01-30,00:00:00,13.425,7.2,19.0,,,75.0,0.0,3.3,0.88,1980-01-30
30,1980-01-31,00:00:00,13.725,6.7,20.5,,,79.6666666667,3.3,4.0,1.06,1980-01-31
31,1980-02-01,00:00:00,13.0,9.0,17.4,,,86.6,0.0,3.2,1.46,1980-02-01
32,1980-02-02,00:00:00,12.7,11.0,16.5,,,84.6,0.0,2.94,1.31,1980-02-02
33,1980-02-03,00:00:00,15.0,6.3,21.5,,,68.6,0.0,5.08,0.98,1980-02-03
34,1980-02-04,00:00:00,13.0,8.8,18.5,,,78.0,0.0,2.9,1.04,1980-02-04
35,1980-02-05,00:00:00,14.1,9.2,20.2,,,77.6,0.0,,0.91,1980-02-05
36,1980-02-06,00:00:00,12.125,10.2,15.6,,,85.3333333333,2.2,,0.62,1980-02-06
37,1980-02-07,00:00:00,12.4,9.4,16.0,,,85.0,1.9,3.22,1.53,1980-02-07
38,1980-02-08,00:00:00,11.1,9.2,17.4,,,81.0,0.0,2.95,1.1,1980-02-08
39,1980-02-09,00:00:00,12.77,8.8,16.7,,,81.33,0.0,4.29,1.06,1980-02-09
40,1980-02-10,00:00:00,13.17,8.4,17.0,,,76.33,0.0,4.86,1.2,1980-02-10
41,1980-02-11,00:00:00,14.37,10.3,17.9,,,79.66,4.3,3.36,0.96,1980-02-11
42,1980-02-12,00:00:00,13.47,8.0,18.9,,,81.33,0.7000000000000001,3.87,0.84,1980-02-12
43,1980-02-13,00:00:00,13.3,6.7,21.0,,,75.3333333333,0.0,5.57,1.42,1980-02-13
44,1980-02-14,00:00:00,10.775,-1.0,19.2,,,64.3333333333,0.0,4.53,1.13,1980-02-14
45,1980-02-15,00:00:00,13.775,7.4,21.2,,,70.0,0.0,5.69,1.12,1980-02-15
46,1980-02-16,00:00:00,13.075,4.2,2.5,,,71.0,0.0,5.81,1.12,1980-02-16
47,1980-02-17,00:00:00,12.95,2.6,21.9,,,73.6666666667,0.0,3.3,1.11,1980-02-17
